country,metric,grade,year,quarter,value
Netherlands,Demand,HSFO,2025,Q1,90
Netherlands,Demand,HSFO,2025,Q2,87
Netherlands,Demand,HSFO,2025,Q3,94
Netherlands,Demand,HSFO,2025,Q4,90
Netherlands,Demand,HSFO,2026,Q1,84
Netherlands,Demand,HSFO,2026,Q2,86
Netherlands,Demand,HSFO,2026,Q3,84
Netherlands,Demand,HSFO,2026,Q4,80
Netherlands,Demand,LSFO,2025,Q1,103
Netherlands,Demand,LSFO,2025,Q2,117
Netherlands,Demand,LSFO,2025,Q3,126
Netherlands,Demand,LSFO,2025,Q4,120
Netherlands,Demand,LSFO,2026,Q1,112
Netherlands,Demand,LSFO,2026,Q2,115
Netherlands,Demand,LSFO,2026,Q3,112
Netherlands,Demand,LSFO,2026,Q4,107
Netherlands,Supply,HSFO,2025,Q1,49
Netherlands,Supply,HSFO,2025,Q2,0
Netherlands,Supply,HSFO,2025,Q3,0
Netherlands,Supply,HSFO,2025,Q4,0
Netherlands,Supply,HSFO,2026,Q1,0
Netherlands,Supply,HSFO,2026,Q2,0
Netherlands,Supply,HSFO,2026,Q3,0
Netherlands,Supply,HSFO,2026,Q4,0
Netherlands,Supply,LSFO,2025,Q1,164
Netherlands,Supply,LSFO,2025,Q2,224
Netherlands,Supply,LSFO,2025,Q3,192
Netherlands,Supply,LSFO,2025,Q4,215
Netherlands,Supply,LSFO,2026,Q1,223
Netherlands,Supply,LSFO,2026,Q2,208
Netherlands,Supply,LSFO,2026,Q3,205
Netherlands,Supply,LSFO,2026,Q4,207
Netherlands,Balance,HSFO,2025,Q1,-41
Netherlands,Balance,HSFO,2025,Q2,-87
Netherlands,Balance,HSFO,2025,Q3,-94
Netherlands,Balance,HSFO,2025,Q4,-90
Netherlands,Balance,HSFO,2026,Q1,-84
Netherlands,Balance,HSFO,2026,Q2,-86
Netherlands,Balance,HSFO,2026,Q3,-84
Netherlands,Balance,HSFO,2026,Q4,-80
Netherlands,Balance,LSFO,2025,Q1,61
Netherlands,Balance,LSFO,2025,Q2,107
Netherlands,Balance,LSFO,2025,Q3,66
Netherlands,Balance,LSFO,2025,Q4,95
Netherlands,Balance,LSFO,2026,Q1,111
Netherlands,Balance,LSFO,2026,Q2,93
Netherlands,Balance,LSFO,2026,Q3,93
Netherlands,Balance,LSFO,2026,Q4,100
Belgium,Demand,HSFO,2025,Q1,25
Belgium,Demand,HSFO,2025,Q2,25
