country,metric,grade,year,quarter,value
Netherlands,Demand,HSFO,2025,Q1,90
Netherlands,Demand,HSFO,2025,Q2,87
Netherlands,Demand,HSFO,2025,Q3,94
Netherlands,Demand,HSFO,2025,Q4,90
Netherlands,Demand,HSFO,2026,Q1,84
Netherlands,Demand,HSFO,2026,Q2,86
Netherlands,Demand,HSFO,2026,Q3,84
Netherlands,Demand,HSFO,2026,Q4,80
Netherlands,Demand,LSFO,2025,Q1,90
Netherlands,Demand,LSFO,2025,Q2,87
Netherlands,Demand,LSFO,2025,Q3,94
Netherlands,Demand,LSFO,2025,Q4,90
Netherlands,Demand,LSFO,2026,Q1,84
Netherlands,Demand,LSFO,2026,Q2,86
Netherlands,Demand,LSFO,2026,Q3,84
Netherlands,Demand,LSFO,2026,Q4,80
Netherlands,Supply,HSFO,2025,Q1,49
Netherlands,Supply,HSFO,2025,Q2,0
Netherlands,Supply,HSFO,2025,Q3,0
Netherlands,Supply,HSFO,2025,Q4,0
Netherlands,Supply,HSFO,2026,Q1,0
Netherlands,Supply,HSFO,2026,Q2,0
Netherlands,Supply,HSFO,2026,Q3,0
Netherlands,Supply,HSFO,2026,Q4,0
Netherlands,Supply,LSFO,2025,Q1,164
Netherlands,Supply,LSFO,2025,Q2,224
Netherlands,Supply,LSFO,2025,Q3,192
Netherlands,Supply,LSFO,2025,Q4,215
Netherlands,Supply,LSFO,2026,Q1,223
Netherlands,Supply,LSFO,2026,Q2,208
Netherlands,Supply,LSFO,2026,Q3,205
Netherlands,Supply,LSFO,2026,Q4,207
Netherlands,Balance,HSFO,2025,Q1,-41
Netherlands,Balance,HSFO,2025,Q2,-87
Netherlands,Balance,HSFO,2025,Q3,-94
Netherlands,Balance,HSFO,2025,Q4,-90
Netherlands,Balance,HSFO,2026,Q1,-84
Netherlands,Balance,HSFO,2026,Q2,-86
Netherlands,Balance,HSFO,2026,Q3,-84
Netherlands,Balance,HSFO,2026,Q4,-80
Netherlands,Balance,LSFO,2025,Q1,74
Netherlands,Balance,LSFO,2025,Q2,137
Netherlands,Balance,LSFO,2025,Q3,98
Netherlands,Balance,LSFO,2025,Q4,125
Netherlands,Balance,LSFO,2026,Q1,139
Netherlands,Balance,LSFO,2026,Q2,122
Netherlands,Balance,LSFO,2026,Q3,121
Netherlands,Balance,LSFO,2026,Q4,127
Belgium,Demand,HSFO,2025,Q1,25
Belgium,Demand,HSFO,2025,Q2,25
