country,metric,grade,year,quarter,value
Belgium,Demand,HSFO,2025,Q3,25
Belgium,Demand,HSFO,2025,Q4,24
Belgium,Demand,HSFO,2026,Q1,24
Belgium,Demand,HSFO,2026,Q2,24
Belgium,Demand,HSFO,2026,Q3,24
Belgium,Demand,HSFO,2026,Q4,23
Belgium,Demand,LSFO,2025,Q1,25
Belgium,Demand,LSFO,2025,Q2,25
Belgium,Demand,LSFO,2025,Q3,25
Belgium,Demand,LSFO,2025,Q4,24
Belgium,Demand,LSFO,2026,Q1,24
Belgium,Demand,LSFO,2026,Q2,24
Belgium,Demand,LSFO,2026,Q3,24
Belgium,Demand,LSFO,2026,Q4,23
Belgium,Supply,HSFO,2025,Q1,0
Belgium,Supply,HSFO,2025,Q2,0
Belgium,Supply,HSFO,2025,Q3,0
Belgium,Supply,HSFO,2025,Q4,0
Belgium,Supply,HSFO,2026,Q1,0
Belgium,Supply,HSFO,2026,Q2,0
Belgium,Supply,HSFO,2026,Q3,0
Belgium,Supply,HSFO,2026,Q4,0
Belgium,Supply,LSFO,2025,Q1,0
Belgium,Supply,LSFO,2025,Q2,0
Belgium,Supply,LSFO,2025,Q3,0
Belgium,Supply,LSFO,2025,Q4,0
Belgium,Supply,LSFO,2026,Q1,0
Belgium,Supply,LSFO,2026,Q2,0
Belgium,Supply,LSFO,2026,Q3,0
Belgium,Supply,LSFO,2026,Q4,0
Belgium,Balance,HSFO,2025,Q1,-25
Belgium,Balance,HSFO,2025,Q2,-25
Belgium,Balance,HSFO,2025,Q3,-25
Belgium,Balance,HSFO,2025,Q4,-24
Belgium,Balance,HSFO,2026,Q1,-24
Belgium,Balance,HSFO,2026,Q2,-24
Belgium,Balance,HSFO,2026,Q3,-24
Belgium,Balance,HSFO,2026,Q4,-23
Belgium,Balance,LSFO,2025,Q1,-25
Belgium,Balance,LSFO,2025,Q2,-25
Belgium,Balance,LSFO,2025,Q3,-25
Belgium,Balance,LSFO,2025,Q4,-24
Belgium,Balance,LSFO,2026,Q1,-24
Belgium,Balance,LSFO,2026,Q2,-24
Belgium,Balance,LSFO,2026,Q3,-24
Belgium,Balance,LSFO,2026,Q4,-23
Italy,Demand,HSFO,2025,Q1,18
Italy,Demand,HSFO,2025,Q2,31
Italy,Demand,HSFO,2025,Q3,34
Italy,Demand,HSFO,2025,Q4,32
Italy,Demand,HSFO,2026,Q1,27
Italy,Demand,HSFO,2026,Q2,28
Italy,Demand,HSFO,2026,Q3,29
Italy,Demand,HSFO,2026,Q4,27
Italy,Demand,LSFO,2025,Q1,18
Italy,Demand,LSFO,2025,Q2,31
Italy,Demand,LSFO,2025,Q3,34
Italy,Demand,LSFO,2025,Q4,32
Italy,Demand,LSFO,2026,Q1,27
Italy,Demand,LSFO,2026,Q2,28
Italy,Demand,LSFO,2026,Q3,29
Italy,Demand,LSFO,2026,Q4,27
Italy,Supply,HSFO,2025,Q1,0
Italy,Supply,HSFO,2025,Q2,0
Italy,Supply,HSFO,2025,Q3,0
Italy,Supply,HSFO,2025,Q4,0
Italy,Supply,HSFO,2026,Q1,0
Italy,Supply,HSFO,2026,Q2,0
Italy,Supply,HSFO,2026,Q3,0
Italy,Supply,HSFO,2026,Q4,0
Italy,Supply,LSFO,2025,Q1,0
Italy,Supply,LSFO,2025,Q2,0
Italy,Supply,LSFO,2025,Q3,0
Italy,Supply,LSFO,2025,Q4,0
Italy,Supply,LSFO,2026,Q1,0
Italy,Supply,LSFO,2026,Q2,0
Italy,Supply,LSFO,2026,Q3,0
Italy,Supply,LSFO,2026,Q4,0
Italy,Balance,HSFO,2025,Q1,-18
Italy,Balance,HSFO,2025,Q2,-31
Italy,Balance,HSFO,2025,Q3,-34
Italy,Balance,HSFO,2025,Q4,-32
Italy,Balance,HSFO,2026,Q1,-27
Italy,Balance,HSFO,2026,Q2,-28
Italy,Balance,HSFO,2026,Q3,-29
Italy,Balance,HSFO,2026,Q4,-27
Italy,Balance,LSFO,2025,Q1,-18
Italy,Balance,LSFO,2025,Q2,-31
Italy,Balance,LSFO,2025,Q3,-34
Italy,Balance,LSFO,2025,Q4,-32
Italy,Balance,LSFO,2026,Q1,-27
Italy,Balance,LSFO,2026,Q2,-28
Italy,Balance,LSFO,2026,Q3,-29
Italy,Balance,LSFO,2026,Q4,-27
Total,Demand,HSFO,2025,Q1,451
Total,Demand,HSFO,2025,Q2,453
Total,Demand,HSFO,2025,Q3,469
Total,Demand,HSFO,2025,Q4,462
Total,Demand,HSFO,2026,Q1,439
Total,Demand,HSFO,2026,Q2,432
Total,Demand,HSFO,2026,Q3,431
Total,Demand,HSFO,2026,Q4,424
Total,Demand,LSFO,2025,Q1,451
Total,Demand,LSFO,2025,Q2,453
Total,Demand,LSFO,2025,Q3,469
Total,Demand,LSFO,2025,Q4,462
Total,Demand,LSFO,2026,Q1,439
Total,Demand,LSFO,2026,Q2,432
Total,Demand,LSFO,2026,Q3,431
Total,Demand,LSFO,2026,Q4,424
Total,Supply,HSFO,2025,Q1,0
Total,Supply,HSFO,2025,Q2,0
Total,Supply,HSFO,2025,Q3,0
Total,Supply,HSFO,2025,Q4,0
Total,Supply,HSFO,2026,Q1,0
Total,Supply,HSFO,2026,Q2,0
Total,Supply,HSFO,2026,Q3,0
Total,Supply,HSFO,2026,Q4,0
Total,Supply,LSFO,2025,Q1,0
Total,Supply,LSFO,2025,Q2,0
Total,Supply,LSFO,2025,Q3,0
Total,Supply,LSFO,2025,Q4,0
Total,Supply,LSFO,2026,Q1,0
Total,Supply,LSFO,2026,Q2,0
Total,Supply,LSFO,2026,Q3,0
Total,Supply,LSFO,2026,Q4,0
Total,Balance,HSFO,2025,Q1,-451
Total,Balance,HSFO,2025,Q2,-453
Total,Balance,HSFO,2025,Q3,-469
Total,Balance,HSFO,2025,Q4,-462
Total,Balance,HSFO,2026,Q1,-439
Total,Balance,HSFO,2026,Q2,-432
Total,Balance,HSFO,2026,Q3,-431
Total,Balance,HSFO,2026,Q4,-424
Total,Balance,LSFO,2025,Q1,-451
Total,Balance,LSFO,2025,Q2,-453
Total,Balance,LSFO,2025,Q3,-469
Total,Balance,LSFO,2025,Q4,-462
Total,Balance,LSFO,2026,Q1,-439
Total,Balance,LSFO,2026,Q2,-432
Total,Balance,LSFO,2026,Q3,-431
Total,Balance,LSFO,2026,Q4,-424
