country,metric,grade,year,quarter,value
Italy,Supply,LSFO,2025,Q1,26
Italy,Supply,LSFO,2025,Q2,15
Italy,Supply,LSFO,2025,Q3,17
Italy,Supply,LSFO,2025,Q4,16
Italy,Supply,LSFO,2026,Q1,13
Italy,Supply,LSFO,2026,Q2,14
Italy,Supply,LSFO,2026,Q3,14
Italy,Supply,LSFO,2026,Q4,13
Italy,Balance,HSFO,2025,Q1,0
Italy,Balance,HSFO,2025,Q2,0
Italy,Balance,HSFO,2025,Q3,0
Italy,Balance,HSFO,2025,Q4,0
Italy,Balance,HSFO,2026,Q1,0
Italy,Balance,HSFO,2026,Q2,0
Italy,Balance,HSFO,2026,Q3,0
Italy,Balance,HSFO,2026,Q4,0
Italy,Balance,LSFO,2025,Q1,0
Italy,Balance,LSFO,2025,Q2,0
Italy,Balance,LSFO,2025,Q3,0
Italy,Balance,LSFO,2025,Q4,0
Italy,Balance,LSFO,2026,Q1,0
Italy,Balance,LSFO,2026,Q2,0
Italy,Balance,LSFO,2026,Q3,0
Italy,Balance,LSFO,2026,Q4,0
Total,Demand,HSFO,2025,Q1,451
Total,Demand,HSFO,2025,Q2,453
Total,Demand,HSFO,2025,Q3,470
Total,Demand,HSFO,2025,Q4,461
Total,Demand,HSFO,2026,Q1,439
Total,Demand,HSFO,2026,Q2,432
Total,Demand,HSFO,2026,Q3,431
Total,Demand,HSFO,2026,Q4,424
Total,Demand,LSFO,2025,Q1,505
Total,Demand,LSFO,2025,Q2,507
Total,Demand,LSFO,2025,Q3,529
Total,Demand,LSFO,2025,Q4,517
Total,Demand,LSFO,2026,Q1,484
Total,Demand,LSFO,2026,Q2,481
Total,Demand,LSFO,2026,Q3,484
Total,Demand,LSFO,2026,Q4,475
Total,Supply,HSFO,2025,Q1,451
Total,Supply,HSFO,2025,Q2,453
Total,Supply,HSFO,2025,Q3,470
Total,Supply,HSFO,2025,Q4,461
Total,Supply,HSFO,2026,Q1,439
Total,Supply,HSFO,2026,Q2,432
Total,Supply,HSFO,2026,Q3,431
Total,Supply,HSFO,2026,Q4,424
Total,Supply,LSFO,2025,Q1,505
Total,Supply,LSFO,2025,Q2,507
Total,Supply,LSFO,2025,Q3,529
Total,Supply,LSFO,2025,Q4,517
Total,Supply,LSFO,2026,Q1,484
Total,Supply,LSFO,2026,Q2,481
Total,Supply,LSFO,2026,Q3,484
Total,Supply,LSFO,2026,Q4,475
Total,Balance,HSFO,2025,Q1,0
Total,Balance,HSFO,2025,Q2,0
Total,Balance,HSFO,2025,Q3,0
Total,Balance,HSFO,2025,Q4,0
Total,Balance,HSFO,2026,Q1,0
Total,Balance,HSFO,2026,Q2,0
Total,Balance,HSFO,2026,Q3,0
Total,Balance,HSFO,2026,Q4,0
Total,Balance,LSFO,2025,Q1,0
Total,Balance,LSFO,2025,Q2,0
Total,Balance,LSFO,2025,Q3,0
Total,Balance,LSFO,2025,Q4,0
Total,Balance,LSFO,2026,Q1,0
Total,Balance,LSFO,2026,Q2,0
Total,Balance,LSFO,2026,Q3,0
Total,Balance,LSFO,2026,Q4,0
